region,location_name,user_name,source,rating,review_text,review_date
Wilayah Bali Utara,Kebun Raya,Nyoman Warta,Google Maps,5,Fasilitas Taman Terawat Dengan Sangat Baik,2025-06-24T11:54:54.317Z
Wilayah Bali Utara,Kebun Raya,johan istanto,Google Maps,5,Suasana Sejuk Membuat Pikiran Lebih Tenang,2025-06-24T09:05:05.592Z
Wilayah Bali Utara,Kebun Raya,Holik Ismail Abdul,Google Maps,3,"Its a lovely park but in the other hands pas datang gak banyk yang bisa dilihat mungkin belum pada bloom bunga2nya , bersih banget si tapi. Pas piknik buat keluarga. Bagusnya harga terjangkau parkiran luas dan emang gwedee banget garden ini harus sewa golf cart atau shuttle kayaknya kalau mau explore mungkin akan sapat ecperience yang maksimal",2025-06-24T08:28:32.722Z
Wilayah Bali Utara,Kebun Raya,Ayu Agnes,Google Maps,5,Harga Tiket Masuk Masih Terjangkau,2025-06-24T08:25:56.064Z
Wilayah Bali Utara,Kebun Raya,Gede Arya,Google Maps,5,,2025-06-22T23:07:45.906Z
Wilayah Bali Utara,Kebun Raya,Novelzaanbiyanaputri Novelzaanbiyanaputri,Google Maps,5,Sangat sejuk dan asri banget pokoknya,2025-06-22T13:54:37.485Z
Wilayah Bali Utara,Kebun Raya,Dodox Mimba,Google Maps,5,Tempat healing terbaik,2025-06-22T10:31:32.711Z
Wilayah Bali Utara,Kebun Raya,Putu Risma Eka Putra,Google Maps,5,,2025-06-22T06:05:53.921Z
Wilayah Bali Utara,Kebun Raya,Made Joel,Google Maps,3,"Tolong perbaiki fasilitas dasar yaitu Toilet, upgrade supaya nyaman dan bersih. Toilet yang layak dan standard international.",2025-06-22T06:01:24.458Z
Wilayah Bali Utara,Kebun Raya,Кароліна Кривулич,Google Maps,4,,2025-06-22T04:24:09.324Z
Wilayah Bali Utara,Kebun Raya,Ajith,Google Maps,5,"Calm, cool and nice place to click photos. Dont miss the deer there !",2025-06-21T15:54:01.610Z
Wilayah Bali Utara,Kebun Raya,Yudi Antara,Google Maps,5,Area Parkir Luas Dan Rapi,2025-06-21T10:00:48.483Z
Wilayah Bali Utara,Kebun Raya,Shafira Firdausa,Google Maps,5,"A pretty, quiet, up in the mountain botanical garden. Many visit the place with friends and families, taking a walk or having a picnic on the grass. The entire area is very vast with several gardens dispered across the park.

Entry ticket is cheap with almost no queue. Big parking space. Inside there are rental bikes that you can rent per hour. The park is clean and no trash in sight.",2025-06-21T01:54:54.330Z
Wilayah Bali Utara,Kebun Raya,OMBOB88,Google Maps,4,,2025-06-21T00:27:16.786Z
Wilayah Bali Utara,Kebun Raya,Sahat Marulitua Togatorop,Google Maps,5,Toilet Bersih Dan Mudah Ditemukan,2025-06-20T09:08:48.308Z
Wilayah Bali Utara,Kebun Raya,Cynthia Su,Google Maps,4,Udara Segar Sangat Menyegarkan,2025-06-20T06:43:20.094Z
Wilayah Bali Utara,Kebun Raya,Eka Ananta,Google Maps,5,selalu yg terbaik,2025-06-19T13:53:07.760Z
Wilayah Bali Utara,Kebun Raya,박미정,Google Maps,4,"Ini adalah tempat yang bagus untuk keluarga dan pasangan bersantai. Jika Anda menginap di dekatnya dan ingin melihat objek wisata lain di dekat dermaga atau sedang transit, tempat ini mungkin layak dikunjungi. Namun, saya tidak akan merekomendasikan untuk melakukan perjalanan jauh hanya untuk melihat tempat ini dalam perjalanan singkat.",2025-06-19T08:12:32.495Z
Wilayah Bali Utara,Kebun Raya,vela kristina,Google Maps,5,,2025-06-19T02:13:22.513Z
Wilayah Bali Utara,Kebun Raya,Sara Kadeeb,Google Maps,5,"Bali Botanical Garden is a breathtaking escape into nature. The lush greenery, fresh mountain air, and diverse plant collections make it a peaceful and refreshing experience. It’s perfect for a quiet walk, a picnic, or just soaking in the natural beauty. The views are stunning, and there’s something calming about being surrounded by such vibrant flora. A must-visit for nature lovers and anyone looking to unwind in Bali’s cooler highlands!",2025-06-18T15:13:41.057Z
Wilayah Bali Utara,Kebun Raya,Cholis Lis,Google Maps,5,Jalur Pejalan Kaki Nyaman Digunakan,2025-06-18T13:49:26.510Z
Wilayah Bali Utara,Kebun Raya,ind.p,Google Maps,2,"tiket makin mahal
toilet kotor, pengap, bau
sewa sepeda banyak yg rusak, rem blong...kayak kena scam

untung alam nya masih bagus dan terjaga",2025-06-17T12:03:42.139Z
Wilayah Bali Utara,Kebun Raya,Lucy,Google Maps,5,Tempat Duduk Tersedia Di Banyak Area,2025-06-17T11:53:13.405Z
Wilayah Bali Utara,Kebun Raya,belawan tingang,Google Maps,4,,2025-06-17T07:10:11.074Z
Wilayah Bali Utara,Kebun Raya,Fidel Ramos,Google Maps,5,Bgus bgt buat nyari ketenangan sm bawa keluarga,2025-06-17T03:53:49.071Z
Wilayah Bali Utara,Kebun Raya,Rizky fadil,Google Maps,5,Pemandangan Alam Terlihat Indah,2025-06-17T01:27:42.107Z
Wilayah Bali Utara,Kebun Raya,Villa Jambu,Google Maps,4,Tempat bagus dan sejuk sayang setiap kesana selalu toiletnya tidak ada air atau lampu toilet mati,2025-06-16T13:15:31.539Z
Wilayah Bali Utara,Kebun Raya,iNews Tuban id,Google Maps,5,,2025-06-16T12:57:20.610Z
Wilayah Bali Utara,Kebun Raya,aidin rezhanoor,Google Maps,5,Fasilitas Informasi Cukup Membantu,2025-06-16T08:56:43.578Z
Wilayah Bali Utara,Kebun Raya,Nina Putu Pradini,Google Maps,5,"Udaranya adem sejuk, hijau semua di depan mata, cocok utk piknik, outbound, hiling dan hilang sebentar. Cuman pas BBQan diserbu lalat banyak bgt, mungkin pas musimnya.

Tidak pernah bosan utk ke sini",2025-06-16T08:05:26.054Z
Wilayah Bali Utara,Kebun Raya,Danielle C,Google Maps,5,,2025-06-16T07:21:48.708Z
Wilayah Bali Utara,Kebun Raya,Nadya Hudaya,Google Maps,5,Great experience. Just make sure not to visit during rainy season,2025-06-16T02:19:09.518Z
Wilayah Bali Utara,Kebun Raya,Suhendri Akmal,Google Maps,5,Suasana Alam Terasa Alami,2025-06-14T21:45:46.835Z
Wilayah Bali Utara,Kebun Raya,Badut Bali Ceria,Google Maps,5,Dingin,2025-06-14T16:59:28.062Z
Wilayah Bali Utara,Kebun Raya,Siti Arifin,Google Maps,5,Harga Sesuai Dengan Pengalaman,2025-06-14T11:46:50.776Z
